=====[Train] Iter: 499 | Loss: 0.5736 | Accuracy: 0.736654 =====
[Eval] Iter: 9500 | Acc: 0.9336 | 2025-02-15 12:43:57.002084
[Eval] Iter: 10000 | Acc: 0.9650 | 2025-02-15 12:44:36.369668
[Eval] Iter: 10500 | Acc: 0.7370 | 2025-02-15 12:45:15.714691
[Eval] Iter: 11000 | Acc: 0.9525 | 2025-02-15 12:45:55.057755
[Eval] Iter: 11500 | Acc: 0.8049 | 2025-02-15 12:46:34.393523
[Eval] Iter: 12000 | Acc: 0.8859 | 2025-02-15 12:47:13.756061
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.687698 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.687698 =====
=====Best Valid IoU Is: 0.687698 =====
=====[Train] Iter: 18499 | Loss: 0.1308 | Accuracy: 0.956706 =====
=====[Train] Iter: 18999 | Loss: 0.2921 | Accuracy: 0.876465 =====
=====[Train] Iter: 19499 | Loss: 0.3999 | Accuracy: 0.819173 =====
=====[Train] Iter: 19999 | Loss: 0.1780 | Accuracy: 0.948730 =====
[Eval] Iter: 500 | Acc: 0.8411 | 2025-02-15 12:54:32.490471
[Eval] Iter: 1000 | Acc: 0.8560 | 2025-02-15 12:55:11.801455
[Eval] Iter: 1500 | Acc: 0.9362 | 2025-02-15 12:55:51.114755
[Eval] Iter: 2000 | Acc: 0.9045 | 2025-02-15 12:56:30.400663
[Eval] Iter: 2500 | Acc: 0.7694 | 2025-02-15 12:57:09.722153
[Eval] Iter: 3000 | Acc: 0.8607 | 2025-02-15 12:57:49.046130
[Eval] Iter: 3500 | Acc: 0.7199 | 2025-02-15 12:58:28.365326
[Eval] Iter: 4000 | Acc: 0.9403 | 2025-02-15 12:59:07.707919
[Eval] Iter: 4500 | Acc: 0.7025 | 2025-02-15 12:59:47.038241
[Eval] Iter: 5000 | Acc: 0.8966 | 2025-02-15 13:00:26.370790
[Eval] Iter: 5500 | Acc: 0.9124 | 2025-02-15 13:01:05.699308
[Eval] Iter: 6000 | Acc: 0.9364 | 2025-02-15 13:01:45.028851
[Eval] Iter: 6500 | Acc: 0.7467 | 2025-02-15 13:02:24.362774
[Eval] Iter: 7000 | Acc: 0.7848 | 2025-02-15 13:03:03.705129
[Eval] Iter: 7500 | Acc: 0.7967 | 2025-02-15 13:03:43.054038
[Eval] Iter: 8000 | Acc: 0.9269 | 2025-02-15 13:04:22.396293
[Eval] Iter: 8500 | Acc: 0.7464 | 2025-02-15 13:05:01.746134
[Eval] Iter: 9000 | Acc: 0.8060 | 2025-02-15 13:05:41.067076
[Eval] Iter: 9500 | Acc: 0.9396 | 2025-02-15 13:06:20.416370
[Eval] Iter: 10000 | Acc: 0.9684 | 2025-02-15 13:06:59.758044
[Eval] Iter: 10500 | Acc: 0.6419 | 2025-02-15 13:07:39.095766
[Eval] Iter: 11000 | Acc: 0.9287 | 2025-02-15 13:08:18.436796
[Eval] Iter: 11500 | Acc: 0.8662 | 2025-02-15 13:08:57.785121
[Eval] Iter: 12000 | Acc: 0.8607 | 2025-02-15 13:09:37.120256
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.686496 =====

=====Mean Valid IoU Is: 0.686496 =====
=====Best Valid IoU Is: 0.687698 =====
=====[Train] Iter: 20499 | Loss: 0.1460 | Accuracy: 0.957682 =====
=====[Train] Iter: 20999 | Loss: 0.1790 | Accuracy: 0.946940 =====
=====[Train] Iter: 21499 | Loss: 0.2386 | Accuracy: 0.901855 =====
=====[Train] Iter: 21999 | Loss: 0.2019 | Accuracy: 0.928548 =====
[Eval] Iter: 500 | Acc: 0.8581 | 2025-02-15 13:16:56.047250
[Eval] Iter: 1000 | Acc: 0.8509 | 2025-02-15 13:17:35.386311
[Eval] Iter: 1500 | Acc: 0.9549 | 2025-02-15 13:18:14.711393
[Eval] Iter: 2000 | Acc: 0.9191 | 2025-02-15 13:18:54.033478
[Eval] Iter: 2500 | Acc: 0.7780 | 2025-02-15 13:19:33.385056
[Eval] Iter: 3000 | Acc: 0.8857 | 2025-02-15 13:20:12.727737
[Eval] Iter: 3500 | Acc: 0.7355 | 2025-02-15 13:20:52.068345
[Eval] Iter: 4000 | Acc: 0.9351 | 2025-02-15 13:21:31.409692
[Eval] Iter: 4500 | Acc: 0.7062 | 2025-02-15 13:22:10.748584
[Eval] Iter: 5000 | Acc: 0.9010 | 2025-02-15 13:22:50.087223
[Eval] Iter: 5500 | Acc: 0.9266 | 2025-02-15 13:23:29.428324
[Eval] Iter: 6000 | Acc: 0.9118 | 2025-02-15 13:24:08.786495
[Eval] Iter: 6500 | Acc: 0.7840 | 2025-02-15 13:24:48.141043
[Eval] Iter: 7000 | Acc: 0.7575 | 2025-02-15 13:25:27.464188
[Eval] Iter: 7500 | Acc: 0.8818 | 2025-02-15 13:26:06.792999
[Eval] Iter: 8000 | Acc: 0.9331 | 2025-02-15 13:26:46.126167
[Eval] Iter: 8500 | Acc: 0.7663 | 2025-02-15 13:27:25.488801
